pickup_datetime,zone_id,zone_name,full_zone_name,call_count,available_taxis
2026-04-03 18:00:00,A1,Yeoksam NW Office,Yeoksam 3x3 A1 - Teheran-ro west office cluster,3,3
2026-04-03 18:00:00,A2,Teheran West,Yeoksam 3x3 A2 - Teheran corridor approach,5,4
2026-04-03 18:00:00,A3,Teheran East,Yeoksam 3x3 A3 - Teheran east office cluster,4,3
2026-04-03 18:00:00,B1,Yeoksam West,Yeoksam 3x3 B1 - Residential and side-street pickup area,3,3
2026-04-03 18:00:00,B2,Gangnam Station Core,Yeoksam 3x3 B2 - Primary hotspot around Gangnam Station,9,5
2026-04-03 18:00:00,B3,Yeoksam East Commercial,Yeoksam 3x3 B3 - Commercial pickup spillover,5,4
2026-04-03 18:00:00,C1,Yeoksam SW,Yeoksam 3x3 C1 - Lower-demand residential zone,2,3
2026-04-03 18:00:00,C2,Gangnam-daero South,Yeoksam 3x3 C2 - Secondary hotspot toward main boulevard,5,4
2026-04-03 18:00:00,C3,Yeoksam SE,Yeoksam 3x3 C3 - Mixed office-residential zone,3,3
2026-04-03 18:05:00,A1,Yeoksam NW Office,Yeoksam 3x3 A1 - Teheran-ro west office cluster,3,3
2026-04-03 18:05:00,A2,Teheran West,Yeoksam 3x3 A2 - Teheran corridor approach,5,4
2026-04-03 18:05:00,A3,Teheran East,Yeoksam 3x3 A3 - Teheran east office cluster,4,3
2026-04-03 18:05:00,B1,Yeoksam West,Yeoksam 3x3 B1 - Residential and side-street pickup area,3,3
2026-04-03 18:05:00,B2,Gangnam Station Core,Yeoksam 3x3 B2 - Primary hotspot around Gangnam Station,9,5
2026-04-03 18:05:00,B3,Yeoksam East Commercial,Yeoksam 3x3 B3 - Commercial pickup spillover,5,4
2026-04-03 18:05:00,C1,Yeoksam SW,Yeoksam 3x3 C1 - Lower-demand residential zone,2,3
2026-04-03 18:05:00,C2,Gangnam-daero South,Yeoksam 3x3 C2 - Secondary hotspot toward main boulevard,5,4
2026-04-03 18:05:00,C3,Yeoksam SE,Yeoksam 3x3 C3 - Mixed office-residential zone,3,3
2026-04-03 18:10:00,A1,Yeoksam NW Office,Yeoksam 3x3 A1 - Teheran-ro west office cluster,3,3
2026-04-03 18:10:00,A2,Teheran West,Yeoksam 3x3 A2 - Teheran corridor approach,5,4
2026-04-03 18:10:00,A3,Teheran East,Yeoksam 3x3 A3 - Teheran east office cluster,4,4
2026-04-03 18:10:00,B1,Yeoksam West,Yeoksam 3x3 B1 - Residential and side-street pickup area,3,3
2026-04-03 18:10:00,B2,Gangnam Station Core,Yeoksam 3x3 B2 - Primary hotspot around Gangnam Station,9,5
2026-04-03 18:10:00,B3,Yeoksam East Commercial,Yeoksam 3x3 B3 - Commercial pickup spillover,5,4
2026-04-03 18:10:00,C1,Yeoksam SW,Yeoksam 3x3 C1 - Lower-demand residential zone,2,3
2026-04-03 18:10:00,C2,Gangnam-daero South,Yeoksam 3x3 C2 - Secondary hotspot toward main boulevard,6,4
2026-04-03 18:10:00,C3,Yeoksam SE,Yeoksam 3x3 C3 - Mixed office-residential zone,3,3
2026-04-03 18:15:00,A1,Yeoksam NW Office,Yeoksam 3x3 A1 - Teheran-ro west office cluster,3,3
2026-04-03 18:15:00,A2,Teheran West,Yeoksam 3x3 A2 - Teheran corridor approach,6,4
2026-04-03 18:15:00,A3,Teheran East,Yeoksam 3x3 A3 - Teheran east office cluster,4,4
2026-04-03 18:15:00,B1,Yeoksam West,Yeoksam 3x3 B1 - Residential and side-street pickup area,3,3
2026-04-03 18:15:00,B2,Gangnam Station Core,Yeoksam 3x3 B2 - Primary hotspot around Gangnam Station,9,5
2026-04-03 18:15:00,B3,Yeoksam East Commercial,Yeoksam 3x3 B3 - Commercial pickup spillover,5,4
2026-04-03 18:15:00,C1,Yeoksam SW,Yeoksam 3x3 C1 - Lower-demand residential zone,3,3
2026-04-03 18:15:00,C2,Gangnam-daero South,Yeoksam 3x3 C2 - Secondary hotspot toward main boulevard,6,4
2026-04-03 18:15:00,C3,Yeoksam SE,Yeoksam 3x3 C3 - Mixed office-residential zone,3,3
2026-04-03 18:20:00,A1,Yeoksam NW Office,Yeoksam 3x3 A1 - Teheran-ro west office cluster,3,3
2026-04-03 18:20:00,A2,Teheran West,Yeoksam 3x3 A2 - Teheran corridor approach,6,4
2026-04-03 18:20:00,A3,Teheran East,Yeoksam 3x3 A3 - Teheran east office cluster,4,4
2026-04-03 18:20:00,B1,Yeoksam West,Yeoksam 3x3 B1 - Residential and side-street pickup area,4,3
2026-04-03 18:20:00,B2,Gangnam Station Core,Yeoksam 3x3 B2 - Primary hotspot around Gangnam Station,10,5
2026-04-03 18:20:00,B3,Yeoksam East Commercial,Yeoksam 3x3 B3 - Commercial pickup spillover,6,4
2026-04-03 18:20:00,C1,Yeoksam SW,Yeoksam 3x3 C1 - Lower-demand residential zone,3,3
2026-04-03 18:20:00,C2,Gangnam-daero South,Yeoksam 3x3 C2 - Secondary hotspot toward main boulevard,6,4
2026-04-03 18:20:00,C3,Yeoksam SE,Yeoksam 3x3 C3 - Mixed office-residential zone,3,3
2026-04-03 18:25:00,A1,Yeoksam NW Office,Yeoksam 3x3 A1 - Teheran-ro west office cluster,3,3
2026-04-03 18:25:00,A2,Teheran West,Yeoksam 3x3 A2 - Teheran corridor approach,6,4
2026-04-03 18:25:00,A3,Teheran East,Yeoksam 3x3 A3 - Teheran east office cluster,5,4
2026-04-03 18:25:00,B1,Yeoksam West,Yeoksam 3x3 B1 - Residential and side-street pickup area,4,4
2026-04-03 18:25:00,B2,Gangnam Station Core,Yeoksam 3x3 B2 - Primary hotspot around Gangnam Station,10,5
2026-04-03 18:25:00,B3,Yeoksam East Commercial,Yeoksam 3x3 B3 - Commercial pickup spillover,6,4
2026-04-03 18:25:00,C1,Yeoksam SW,Yeoksam 3x3 C1 - Lower-demand residential zone,3,3
2026-04-03 18:25:00,C2,Gangnam-daero South,Yeoksam 3x3 C2 - Secondary hotspot toward main boulevard,6,4
2026-04-03 18:25:00,C3,Yeoksam SE,Yeoksam 3x3 C3 - Mixed office-residential zone,3,3
2026-04-03 18:30:00,A1,Yeoksam NW Office,Yeoksam 3x3 A1 - Teheran-ro west office cluster,3,3
2026-04-03 18:30:00,A2,Teheran West,Yeoksam 3x3 A2 - Teheran corridor approach,6,4
2026-04-03 18:30:00,A3,Teheran East,Yeoksam 3x3 A3 - Teheran east office cluster,5,4
2026-04-03 18:30:00,B1,Yeoksam West,Yeoksam 3x3 B1 - Residential and side-street pickup area,4,4
2026-04-03 18:30:00,B2,Gangnam Station Core,Yeoksam 3x3 B2 - Primary hotspot around Gangnam Station,11,5
2026-04-03 18:30:00,B3,Yeoksam East Commercial,Yeoksam 3x3 B3 - Commercial pickup spillover,6,5
2026-04-03 18:30:00,C1,Yeoksam SW,Yeoksam 3x3 C1 - Lower-demand residential zone,3,3
2026-04-03 18:30:00,C2,Gangnam-daero South,Yeoksam 3x3 C2 - Secondary hotspot toward main boulevard,6,4
2026-04-03 18:30:00,C3,Yeoksam SE,Yeoksam 3x3 C3 - Mixed office-residential zone,4,3
2026-04-03 18:35:00,A1,Yeoksam NW Office,Yeoksam 3x3 A1 - Teheran-ro west office cluster,3,3
2026-04-03 18:35:00,A2,Teheran West,Yeoksam 3x3 A2 - Teheran corridor approach,6,4
2026-04-03 18:35:00,A3,Teheran East,Yeoksam 3x3 A3 - Teheran east office cluster,5,4
2026-04-03 18:35:00,B1,Yeoksam West,Yeoksam 3x3 B1 - Residential and side-street pickup area,4,4
2026-04-03 18:35:00,B2,Gangnam Station Core,Yeoksam 3x3 B2 - Primary hotspot around Gangnam Station,11,5
2026-04-03 18:35:00,B3,Yeoksam East Commercial,Yeoksam 3x3 B3 - Commercial pickup spillover,6,5
